,Kruskal_time,Prim_time,Num_of_nodes,Completeness
456,0.02728,0.0873,160.0,7.0
457,0.0272,0.08695,160.0,8.0
458,0.02818,0.08707,160.0,9.0
459,0.02816,0.08682,160.0,10.0
460,0.02792,0.0881,160.0,1.0
461,0.0276,0.08908,160.0,2.0
462,0.02843,0.08799,160.0,3.0
463,0.02771,0.08767,160.0,4.0
464,0.02809,0.08647,160.0,5.0
465,0.02744,0.08758,160.0,6.0
466,0.02777,0.08731,160.0,7.0
467,0.02738,0.08649,160.0,8.0
468,0.02733,0.08888,160.0,9.0
469,0.02715,0.08711,160.0,10.0
470,0.02741,0.08659,160.0,1.0
471,0.03001,0.08738,160.0,2.0
472,0.02742,0.08776,160.0,3.0
473,0.02934,0.08928,160.0,4.0
474,0.02852,0.0869,160.0,5.0
475,0.0278,0.09159,160.0,6.0
476,0.02915,0.09135,160.0,7.0
477,0.02735,0.08969,160.0,8.0
478,0.02942,0.09143,160.0,9.0
479,0.02976,0.08733,160.0,10.0
480,0.0275,0.09049,160.0,1.0
481,0.03909,0.09023,160.0,2.0
482,0.02922,0.09098,160.0,3.0
483,0.02917,0.09091,160.0,4.0
484,0.04352,0.09056,160.0,5.0
485,0.02975,0.09063,160.0,6.0
486,0.02748,0.08859,160.0,7.0
487,0.02748,0.08715,160.0,8.0
488,0.02895,0.09032,160.0,9.0
489,0.02958,0.0906,160.0,10.0
490,0.02907,0.09049,160.0,1.0
491,0.02883,0.08683,160.0,2.0
492,0.02747,0.08668,160.0,3.0
493,0.02742,0.0895,160.0,4.0
494,0.0288,0.08856,160.0,5.0
495,0.02801,0.0891,160.0,6.0
496,0.02907,0.09012,160.0,7.0
497,0.02867,0.08717,160.0,8.0
498,0.02787,0.08813,160.0,9.0
499,0.0276,0.08666,160.0,10.0
500,0.02746,0.08671,160.0,1.0
501,0.02743,0.08678,160.0,2.0
502,0.02818,0.08687,160.0,3.0
503,0.02738,0.08669,160.0,4.0
504,0.02748,0.08663,160.0,5.0
505,0.0273,0.08752,160.0,6.0
506,0.02757,0.08665,160.0,7.0
507,0.02733,0.08732,160.0,8.0
508,0.02786,0.08723,160.0,9.0
509,0.02757,0.0871,160.0,10.0
510,0.02749,0.08696,160.0,1.0
511,0.0276,0.08687,160.0,2.0
512,0.02722,0.08615,160.0,3.0
513,0.02741,0.08685,160.0,4.0
514,0.02727,0.08648,160.0,5.0
